"NDB_No","Seq","Amount","Msre_Desc","Gm_Wgt","Num_Data_pts","Std_Dev"
"01192","1","1.0","oz","28.0","",""
"01193","1","2.0","tbsp","31.0","",""
"01194","1","2.0","tbsp","32.0","",""
"01199","1","2.0","tbsp","29.0","1",""
"01199","2","1.0","pint","484.0","1",""
"01200","1","1.0","tablespoon","4.0","",""
"01200","2","1.0","cup","75.0","",""
"01202","1","1.0","cup","250.0","",""
"01202","2","1.0","fl oz","31.2","",""
"01202","3","1.0","quart","1000.0","",""
"01203","1","1.0","container (6 oz)","170.0","",""
"01203","2","1.0","cup (8 fl oz)","245.0","",""
"01203","3","1.0","container (8 oz)","227.0","",""
"01204","1","1.0","cup","100.0","",""
"01204","2","1.0","tbsp","5.0","",""
"01204","3","1.0","oz","28.35","",""
"01205","1","1.0","tbsp","15.0","1",""
"01206","1","4.0","tsp","12.0","1",""
"01208","1","1.0","cup, diced","132.0","",""
"01208","2","1.0","oz","28.35","",""
"01208","3","1.0","cup, shredded","113.0","",""
"01208","4","1.0","cubic inch","14.3","",""
"01208","5","1.0","slice (1 oz)","28.0","",""
"01208","6","1.0","package (6 oz)","170.0","",""
"01209","1","1.0","oz","28.35","1",""
"01209","2","0.25","cup","28.0","1",""
"01211","1","1.0","cup","244.0","",""
"01211","2","1.0","tbsp","15.0","",""
"01211","3","1.0","fl oz","30.5","",""
"01211","4","1.0","quart","976.0","",""
"01212","1","1.0","cup","128.0","",""
"01212","2","0.25","cup","32.0","",""
"01215","1","1.0","slice 3/4 oz","21.0","",""
"01215","2","1.0","slice 2/3 oz","19.0","",""
"01216","1","1.0","container (6 oz)","170.0","",""
"01216","2","1.0","container (4.4 oz)","125.0","",""
"01216","3","1.0","container (5 oz)","142.0","",""
"01216","4","1.0","cup (8 fl oz)","245.0","",""
"01216","5","1.0","container (8 oz)","227.0","",""
"01216","6","0.5","container (4 oz)","113.0","",""
"01217","1","1.0","container (6 oz)","170.0","",""
"01217","2","1.0","cup (8 fl oz)","245.0","",""
"01217","3","1.0","container (8 oz)","227.0","",""
"01217","5","1.0","container, Dannon Sprinkl'ins (4.1 oz)","116.0","",""
"01217","6","0.5","container (4 oz)","113.0","",""
"01218","1","1.0","container (6 oz)","170.0","",""
"01218","2","1.0","container (4.4 oz)","125.0","",""
"01218","3","1.0","cup (8 fl oz)","245.0","",""
"01218","4","1.0","container (8 oz)","227.0","",""
"01219","1","1.0","container (6 oz)","170.0","",""
"01219","2","1.0","cup (8 fl oz)","245.0","",""
"01219","3","1.0","container (8 oz)","227.0","",""
"01220","1","1.0","container (6 oz)","170.0","",""
"01220","2","1.0","container (8 oz)","227.0","",""
"01220","3","0.5","container (4 oz)","113.0","",""
"01220","4","1.0","cup (8 fl oz)","245.0","",""
"01221","1","1.0","container (6 oz)","170.0","",""
"01222","1","1.0","container (6 oz)","170.0","",""
"01223","1","1.0","tbsp","11.0","",""
"01224","1","2.0","scoop","50.0","1",""
"01225","1","1.0","tbsp","19.0","4","2.243"
"01226","1","0.25","cup","60.0","",""
"01226","2","1.0","cup","240.0","",""
"01227","1","1.0","cup grated","97.0","12","13.246"
"01228","1","1.0","cup, crumbled","122.0","12","8.56"
"01229","1","1.0","cup, crumbled","118.0","12","5.521"
"01230","1","1.0","cup","245.0","",""
"01231","1","1.0","container","170.0","",""
"01235","1","0.5","cup","68.0","",""
"01236","1","0.5","cup","86.0","",""
"01237","1","1.0","bar","50.0","",""
"01238","1","1.0","serving","70.0","",""
"01239","1","1.0","serving","82.0","1",""
"01240","1","1.0","unit","96.0","1",""
"01241","1","1.0","serving","70.0","1",""
"01242","1","1.0","serving","70.0","1",""
"01243","1","0.5","cup","68.0","1",""
"01244","1","1.0","bar","68.0","2",""
"01250","1","1.0","can","227.0","1",""
"01251","1","0.25","cup shredded","28.0","",""
"01252","1","1.0","slice (2/3 oz)","19.0","",""
"01252","2","1.0","slice (3/4 oz)","21.0","",""
"01253","1","1.0","oz","28.35","",""
"01253","2","1.0","slice (3/4 oz)","21.0","",""
"01253","3","1.0","slice (1 oz)","28.0","",""
"01253","4","1.0","cubic inch","18.0","",""
"01253","5","1.0","cup, diced","140.0","",""
"01253","6","1.0","cup, shredded","113.0","",""
"01253","7","1.0","cup, melted","244.0","",""
"01254","1","1.0","cup","113.0","",""
"01254","2","1.0","oz","28.35","",""
"01254","3","1.0","slice (3/4 oz)","21.0","",""
"01254","4","1.0","package (8 oz)","227.0","",""
"01255","1","1.0","oz","28.0","",""
"01256","1","1.0","container","170.0","1",""
"01258","1","1.0","cup, sifted","107.0","",""
"01258","2","1.0","tbsp","7.0","",""
"01259","1","1.0","piece","21.0","12","0.481"
"01259","2","1.0","package","566.0","8","208.427"
"01260","1","1.0","slice","21.0","9","2.145"
"01263","1","1.0","medium","298.0","1",""
"01264","1","26.0","pieces","95.0","1",""
"01265","1","1.0","serving","28.0","1",""
"01266","1","1.0","serving","28.0","",""
"01267","1","2.0","tsp","5.0","1",""
"01270","1","1.0","slice (2/3 oz)","19.0","",""
"01270","2","1.0","slice (3/4 oz)","21.0","",""
"01270","3","1.0","slice (1 oz)","28.0","",""
"01271","1","1.0","cup","86.0","32","7.497"
"01275","1","5.3","oz","150.0","",""
"01276","1","5.3","oz","150.0","",""
"01278","1","5.3","oz","150.0","",""
"01280","1","5.3","oz","150.0","",""
"01284","1","1.0","container (5.3 oz)","150.0","",""
"01284","2","1.0","cup (8 fl oz)","245.0","",""
"01284","3","1.0","container (6 oz)","170.0","",""
"01284","4","1.0","container (8 oz)","227.0","",""
"01284","5","1.0","container, Dannon Sprinkl'ins (4.1 oz)","116.0","",""
"01284","6","0.0","container (4 oz)","113.0","",""
"01285","1","1.0","container (5.3 oz)","150.0","",""
"01286","1","1.0","container (5.3 oz)","150.0","",""
"01287","1","1.0","container (7 oz)","200.0","",""
"01289","1","1.0","cup","243.0","1",""
"01289","2","1.0","bottle","971.0","10",""
"01290","1","1.0","cup","247.0","1",""
"01290","2","1.0","bottle","989.0","10",""
"01291","1","1.0","cup","252.0","",""
"01291","2","1.0","fl oz","31.5","",""
"01291","3","1.0","can (13 oz)","369.0","",""
"01291","4","0.5","cup","126.0","",""
"01292","1","1.0","cup","250.0","",""
"01292","2","1.0","fl oz","31.2","",""
"01292","3","1.0","quart","1000.0","",""
"01295","1","1.0","cup (8 fl oz)","245.0","",""
"01295","2","1.0","container (8 oz)","227.0","",""
"01295","3","0.5","container (4 oz)","113.0","",""
"02001","1","1.0","tsp","1.9","",""
"02001","2","1.0","tbsp","6.0","",""
"02002","1","1.0","tsp, whole","2.1","",""
"02002","2","1.0","tbsp, whole","6.7","",""
"02003","1","1.0","tsp, leaves","0.7","13",""
"02003","2","1.0","tbsp, leaves","2.1","30","0.12"
"02003","3","1.0","tsp, ground","1.4","",""
"02003","4","1.0","tbsp, ground","4.5","",""
"02004","1","1.0","tsp, crumbled","0.6","",""
"02004","2","1.0","tbsp, crumbled","1.8","",""
"02005","1","1.0","tsp","2.1","",""
"02005","2","1.0","tbsp","6.7","",""
"02006","1","1.0","tsp, ground","2.0","",""
"02006","2","1.0","tbsp, ground","5.8","",""
"02007","1","1.0","tsp","2.0","",""
