"NDB_No","Nutr_No","Isfl_Val","SD","n","Min","Max","CC","DataSrc_ID"
"15138","711","0.05","0.07071067811865477","2.0","0.0","0.1","C","91"
"15138","712","0.0","0.0","2.0","0.0","0.0","C","91"
"15138","713","0.1","0.14142135623730953","2.0","0.0","0.2","C","91"
"15184","710","0.037500000000000006","0.07440238091428449","8.0","0.0","0.2","B","89,91"
"15184","711","0.05","0.10690449676496976","8.0","0.0","0.3","B","89,91"
"15184","712","0.0","0.0","8.0","0.0","0.0","B","89,91"
"15184","713","0.0875","0.17268882005337974","8.0","0.0","0.5","B","89,91"
"15184","715","2.0E-4","","1.0","2.0E-4","2.0E-4","","89"
"15184","716","0.0","","1.0","0.0","0.0","","89"
"15185","710","0.11666666666666665","0.2401388487243717","6.0","0.0","0.6","C","91"
"15185","711","0.15","0.36742346141747667","6.0","0.0","0.9","C","91"
"15185","712","0.016666666666666666","0.040824829046386304","6.0","0.0","0.1","C","91"
"15185","713","0.2833333333333334","0.6462713568360172","6.0","0.0","1.6","C","91"
"16001","710","0.3566666666666667","0.1554295124271235","9.0","0.0","0.57","B","61,73"
"16001","711","0.23333333333333334","0.10115993936995679","9.0","0.0","0.36","B","61,73"
"16001","712","0.0","0.0","6.0","0.0","0.0","C","73"
"16001","713","0.5866666666666666","0.25447658700425335","9.0","0.0","0.91","B","61,73"
"16001","714","0.0","0.0","6.0","0.0","0.0","","73"
"16001","715","0.0","0.0","6.0","0.0","0.0","","73"
"16001","716","0.0","0.0","6.0","0.0","0.0","","73"
"16006","710","0.0","0.0","4.0","0.0","0.0","B","50,89,99"
"16006","711","0.005","0.005773502691896258","4.0","0.0","0.01","B","50,89,99"
"16006","712","0.0","0.0","2.0","0.0","0.0","C","89,99"
"16006","713","0.005","0.005773502691896258","4.0","0.0","0.01","B","50,89,99"
"16009","715","5.0E-4","","1.0","5.0E-4","5.0E-4","","89"
"16009","716","0.0","","1.0","0.0","0.0","","89"
"16014","710","0.006666666666666667","0.011547005383792516","3.0","0.0","0.02","C","2,24,31"
"16014","711","0.0","0.0","3.0","0.0","0.0","C","2,24,31"
"16014","712","0.0","","1.0","0.0","0.0","C","2"
"16014","713","0.006666666666666667","0.011547005383792516","3.0","0.0","0.02","C","2,24,31"
"16014","714","0.0","","1.0","0.0","0.0","","2"
"16014","715","0.0","","1.0","0.0","0.0","","2"
"16014","716","0.0","","1.0","0.0","0.0","","2"
"16018","710","0.0","","1.0","0.0","0.0","D","89"
"16018","711","0.0","","1.0","0.0","0.0","D","89"
"16018","712","0.0","","1.0","0.0","0.0","D","89"
"16018","713","0.0","","1.0","0.0","0.0","D","89"
"16018","715","0.0029","","1.0","0.0029","0.0029","","89"
"16018","716","0.0","","1.0","0.0","0.0","","89"
"16019","710","0.0","","1.0","0.0","0.0","C","2"
"16019","711","0.0","","1.0","0.0","0.0","C","2"
"16019","712","0.01","","1.0","0.01","0.01","C","2"
"16019","713","0.01","","1.0","0.01","0.01","C","2"
"16019","714","0.0","","1.0","0.0","0.0","","2"
"16019","715","0.0","","1.0","0.0","0.0","","2"
"16019","716","0.0","","1.0","0.0","0.0","","2"
"16024","710","0.0","0.0","2.0","0.0","0.0","C","24,31"
"16024","711","0.0","0.0","2.0","0.0","0.0","C","24,31"
"16024","713","0.0","0.0","2.0","0.0","0.0","C","24,31"
"16024","714","0.6","","1.0","0.6","0.6","","24"
"16024","715","0.0","","1.0","0.0","0.0","","24"
"16024","716","0.0","","1.0","0.0","0.0","","24"
"16027","712","0.0","0.0","15.0","0.0","0.0","B","7"
"16027","714","0.042061538461538456","0.13767432911561944","25.0","0.0","0.5","","57,73"
"16027","715","0.0033461538461538464","0.003709360992726237","25.0","0.0","0.0109","","57,73"
"16027","716","0.0025923076923076924","0.0041437626899678065","25.0","0.0","0.01","","57,73"
"16028","710","0.0","","1.0","0.0","0.0","C","24"
"16028","711","0.0","","1.0","0.0","0.0","C","24"
"16028","713","0.0","","1.0","0.0","0.0","C","24"
"16028","714","0.41000000000000003","","1.0","0.41000000000000003","0.41000000000000003","","24"
"16028","715","0.0","","1.0","0.0","0.0","","24"
"16028","716","0.0","","1.0","0.0","0.0","","24"
"16032","710","0.0135","0.009192388155425118","2.0","0.007","0.02","B","50,57"
"16032","711","0.01","0.01414213562373095","2.0","0.0","0.02","B","50,57"
"16032","713","0.0235","0.02333452377915607","2.0","0.007","0.04","B","50,57"
"16032","714","0.0073","","3.0","0.0073","0.0073","","57"
"16032","715","0.0","","3.0","0.0","0.0","","57"
"16032","716","0.0","","3.0","0.0","0.0","","57"
"16033","710","0.005","0.007071067811865475","2.0","0.0","0.01","B","24,50"
"16033","711","0.005","0.007071067811865475","2.0","0.0","0.01","B","24,50"
"16033","713","0.01","0.01414213562373095","2.0","0.0","0.02","B","24,50"
"16034","710","0.0","","1.0","0.0","0.0","D","89"
"16034","711","0.0","","1.0","0.0","0.0","D","89"
"16034","712","0.0","","1.0","0.0","0.0","D","89"
"16034","713","0.0","","1.0","0.0","0.0","D","89"
"16034","715","2.0E-4","","1.0","2.0E-4","2.0E-4","","89"
"16034","716","0.0","","1.0","0.0","0.0","","89"
"16037","710","0.007","0.009899494936611667","2.0","0.0","0.014","C","24,57"
"16037","711","0.204","0.28849956672411137","2.0","0.0","0.408","C","24,57"
"16037","713","0.211","0.29839906166072305","2.0","0.0","0.422","C","24,57"
"16037","714","0.019700000000000002","0.021637467504308353","4.0","0.0044","0.035","","24,57"
"16037","715","0.0","0.0","4.0","0.0","0.0","","24,57"
"16037","716","0.0","0.0","4.0","0.0","0.0","","24,57"
"16040","710","0.0","","1.0","0.0","0.0","C","24"
"16040","711","0.0","","1.0","0.0","0.0","C","24"
"16040","713","0.0","","1.0","0.0","0.0","C","24"
"16040","714","0.0","","1.0","0.0","0.0","","24"
"16040","715","1.05","","1.0","1.05","1.05","","24"
"16040","716","0.0","","1.0","0.0","0.0","","24"
"16042","710","0.006666666666666667","0.011547005383792516","3.0","0.0","0.02","C","24,31,57"
"16042","711","0.17266666666666666","0.2990674394402262","3.0","0.0","0.518","C","24,31,57"
"16042","713","0.17933333333333334","0.3106144448240187","3.0","0.0","0.538","C","24,31,57"
"16042","714","0.28105","0.39449487322397486","4.0","0.0021","0.56","","24,57"
"16042","715","0.00925","0.013081475451951128","4.0","0.0","0.0185","","24,57"
"16042","716","1.805","2.5526554800834367","4.0","0.0","3.61","","24,57"
"16045","710","0.0","0.0","2.0","0.0","0.0","C","24,31"
